id;article_code;article_desc;catg_code_id
46;YCK14;YARN DYED..CHECKS..Count=1/10NE+1/10NEx1/4NE+1/4NE..Const=44x24..COTTON=100%..(Spl.Finish:BRUSHING);1
47;STW02;SOLID..TWILL..Count=1/20NEx1/16NE+1/70DENIER..Const=136x66..COTTON=98% SPANDEX=2%..(Spl.Finish:PEACH);1
48;PVO03;PRINTED..VOILE..Count=1/70NEx1/90NE..Const=90x64..COTTON=100%..(Spl.Finish:NORMAL FINISH);1
49;PSH00;PRINTED..SHEETING..Count=1/20NEx1/20NE..Const=68x60..COTTON=100%..(Spl.Finish:NORMAL FINISH);1
50;CH02;CAUSTIC SODA FLAKES;3
51;CH01;HCL ACID;3
52;LO01;Surface (Road/Rail) Transportation;4
53;LO02;Air Transportation;4
54;LO03;Sea Transportation;4
55;PK01;CARTON FOR HANGER SHIPMENT;5
56;PK03;CLEAR POLYBAG;5
57;PK02;CARTON FOR FLAT SHIPMENT;5
58;PK03;ALL PURPOSE CARTON;5
