id;template_name;specification_one;specification_one_show_as;specification_one_value;specification_one_required;specification_two;specification_two_show_as;specification_two_value;specification_two_required;specification_three;specification_three_show_as;specification_three_value;specification_three_required;specification_four;specification_four_show_as;specification_four_value;specification_four_required;specification_five;specification_five_show_as;specification_five_value;specification_five_required;specification_six;specification_six_show_as;specification_six_value;specification_six_required;specification_seven;specification_seven_show_as;specification_seven_value;specification_seven_required;specification_eight;specification_eight_show_as;specification_eight_value;specification_eight_required;specification_nine;specification_nine_show_as;specification_nine_value;specification_nine_required;specification_ten;specification_ten_show_as;specification_ten_value;specification_ten_required;rns_catg_code_id
2;For Woven Fabrics;Color;TEXTFIELD;NULL;1;Width;TEXTFIELD;NULL;1;GSM;TEXTFIELD;NULL;0;GLM;TEXTFIELD;NULL;0;Type;TEXTFIELD;NULL;0;Defect Type;TEXTFIELD;NULL;0;Fabric Type;TEXTFIELD;NULL;1;Purchase Type;DROPDOWN;Domestic, Imported;1;Machine Type;DROPDOWN;Brushing, Combing, Flatter;1;Purchase Catg;DROPDOWN;Surat, Salem;1;1
1;For Woven Fabrics;Color;TEXTFIELD;NULL;1;Width;TEXTFIELD;NULL;1;GSM;TEXTFIELD;NULL;0;GLM;TEXTFIELD;NULL;0;Type;TEXTFIELD;NULL;0;Defect Type;TEXTFIELD;NULL;0;Fabric Type;TEXTFIELD;NULL;1;Purchase Type;DROPDOWN;Domestic, Imported;1;Machine Type;DROPDOWN;Brushing, Combing, Flatter;1;Purchase Catg;DROPDOWN;Surat, Salem;1;2
